label,n_rows,rows_with_text,term,count
worsen,245,245,course,13206
worsen,245,245,learning,4183
worsen,245,245,data,3280
worsen,245,245,curso,2769
worsen,245,245,python,2325
worsen,245,245,software,2246
worsen,245,245,justification,2222
worsen,245,245,match,2222
worsen,245,245,available,2222
worsen,245,245,courses,2222
worsen,245,245,index,2222
worsen,245,245,machine,2150
worsen,245,245,suggestion,2107
worsen,245,245,llm,2036
worsen,245,245,deep,2033
worsen,245,245,chosen,1977
worsen,245,245,source,1977
worsen,245,245,step,1977
worsen,245,245,true,1861
worsen,245,245,design,1725
worsen,245,245,cloud,1707
worsen,245,245,computing,1642
worsen,245,245,analysis,1478
worsen,245,245,sql,1467
worsen,245,245,statistics,1436
worsen,245,245,engineering,1407
worsen,245,245,cubre,1322
worsen,245,245,aunque,1247
worsen,245,245,algoritmos,1146
worsen,245,245,además,980
