subset,variant,instance_size,n_rows,total_cost_mean,total_cost_median,total_cost_std,num_courses_mean,num_courses_median,num_courses_std,elapsed_time_mean,elapsed_time_median,elapsed_time_std,success_rate
performance,A,large,45,25.11111111111111,20.0,10.095503549560663,7.555555555555555,6.0,3.4414291135274517,0.9405886799996046,0.0560215000004973,2.291886750982638,1.0
performance,A,manual,45,6.666666666666667,4.0,6.875516509523287,2.0,1.0,2.1846572437632577,5.153999987264797e-05,4.579999949783087e-05,3.5486073151414185e-05,1.0
performance,A,medium,90,12.722222222222221,12.0,5.485481916857879,3.5555555555555554,3.0,1.2641212350399393,0.0025569622217314937,0.0006096000142860501,0.0038547387010825817,1.0
performance,A,small,140,20.821428571428573,20.0,6.624858198176046,6.142857142857143,6.0,1.412031693916561,0.0011067442870365794,0.0005456000071717,0.001768241367660972,1.0
performance,B,large,45,25.11111111111111,20.0,10.095503549560663,7.555555555555555,6.0,3.4414291135274517,0.9181762511104655,0.0600792000186629,2.23516805029554,1.0
performance,B,manual,45,6.666666666666667,4.0,6.875516509523287,2.0,1.0,2.1846572437632577,5.822222317671801e-05,3.830000059679151e-05,4.40637508316771e-05,1.0
performance,B,medium,90,12.722222222222221,12.0,5.485481916857879,3.5555555555555554,3.0,1.2641212350399393,0.0027038355551970163,0.00057504999858785,0.005706005960053245,1.0
performance,B,small,140,20.821428571428573,20.0,6.624858198176046,6.142857142857143,6.0,1.412031693916561,0.0008638778566299197,0.0005021999968448,0.0009901662717378575,1.0
performance,C,large,45,25.11111111111111,20.0,10.095503549560663,7.555555555555555,6.0,3.4414291135274517,0.9941644777763738,0.1092474000179208,2.2362001575374078,1.0
performance,C,manual,45,6.666666666666667,4.0,6.875516509523287,2.0,1.0,2.1846572437632577,6.898889033536533e-05,6.0200021835044026e-05,5.102249491951907e-05,1.0
performance,C,medium,90,12.722222222222221,12.0,5.485481916857879,3.5555555555555554,3.0,1.2641212350399393,0.003147516668023911,0.0007279499986907,0.005570752962435308,1.0
performance,C,small,140,20.821428571428573,20.0,6.624858198176046,6.142857142857143,6.0,1.412031693916561,0.0011181135718028397,0.0005145500035723,0.001856266451418237,1.0
performance,D,large,50,55.16,49.0,24.445992117568988,15.48,15.0,6.940681610943539,37.31223757799773,0.12404434999916694,110.86390991956074,1.0
performance,D,manual,45,8.0,8.0,6.605782590758164,2.6666666666666665,3.0,2.0780235364840838,3.3408572555571374,0.0262666000053286,16.024968653469067,1.0
performance,D,medium,100,23.1,21.5,13.061238823172925,6.1,5.5,3.3469419179334743,11.695988227999187,0.05295445000228935,41.16243365199364,1.0
performance,D,small,150,25.4,24.5,5.905292814202909,7.4,7.0,1.6302509379863483,8.46278176466721,0.0713062499853549,33.60871482368572,1.0
robustez,A,large,50,27.8,21.5,12.566557497856715,8.2,6.5,3.8011813416143063,0.8466265319986269,0.0271886499976972,2.190395422171414,0.9
robustez,A,manual,75,4.4,0.0,6.160028079964079,1.3333333333333333,0.0,1.9335818417482975,5.577199975959205e-05,4.579999949783087e-05,4.575883134027072e-05,0.6
robustez,A,medium,100,13.35,12.0,5.571164939927625,3.7,3.5,1.275250025000049,0.0023174289989401167,0.00031415000557895,0.0037255913037145916,0.9
robustez,A,small,150,20.6,20.0,6.453759114764774,6.133333333333334,6.0,1.3642937876974617,0.0010423693348032275,0.0004342000029282,0.0017250823267301722,0.9333333333333333
robustez,B,large,50,27.8,21.5,12.566557497856715,8.2,6.5,3.8011813416143063,0.826406699999352,0.0300239500065799,2.1362407193060267,0.9
robustez,B,manual,75,4.4,0.0,6.160028079964079,1.3333333333333333,0.0,1.9335818417482975,5.9681332980586165e-05,4.6200002543628216e-05,4.0288325851765e-05,0.6
robustez,B,medium,100,13.35,12.0,5.571164939927625,3.7,3.5,1.275250025000049,0.0024485069993533774,0.00025774999812705,0.005464670753684395,0.9
robustez,B,small,150,20.6,20.0,6.453759114764774,6.133333333333334,6.0,1.3642937876974617,0.0008117439991716473,0.00043225000263185,0.0009761897866948584,0.9333333333333333
robustez,C,large,50,27.8,21.5,12.566557497856715,8.2,6.5,3.8011813416143063,0.8948154459992657,0.02783394999278235,2.1403204707432972,0.9
robustez,C,manual,75,4.4,0.0,6.160028079964079,1.3333333333333333,0.0,1.9335818417482975,6.115200075630557e-05,5.080000846646726e-05,4.3905820751142045e-05,0.6
robustez,C,medium,100,13.35,12.0,5.571164939927625,3.7,3.5,1.275250025000049,0.002849904001050117,0.00036469999758985,0.005357652391409636,0.9
robustez,C,small,150,20.6,20.0,6.453759114764774,6.133333333333334,6.0,1.3642937876974617,0.0010485420003532924,0.00047295002150345004,0.0018118261778293863,0.9333333333333333
robustez,D,large,50,55.16,49.0,24.445992117568988,15.48,15.0,6.940681610943539,37.31223757799773,0.12404434999916694,110.86390991956074,1.0
robustez,D,manual,75,6.0,6.0,5.972911825540009,2.0,2.0,1.9101436199010402,2.4537940533335005,0.0141768000030424,12.981758845407528,0.6
robustez,D,medium,100,23.1,21.5,13.061238823172925,6.1,5.5,3.3469419179334743,11.695988227999187,0.05295445000228935,41.16243365199364,1.0
robustez,D,small,150,25.4,24.5,5.905292814202909,7.4,7.0,1.6302509379863483,8.46278176466721,0.0713062499853549,33.60871482368572,1.0
